ADDRESSLINE1,CITY,CONTACTFIRSTNAME,CONTACTLASTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH_ID,MSRP,ORDERDATE,ORDERLINENUMBER,ORDERNUMBER,PHONE,PRICEEACH,PRODUCTCODE,PRODUCTLINE,QTR_ID,QUANTITYORDERED,SALES,STATUS,TERRITORY2,YEAR_ID
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Small,2,95,2/24/2003 0:00,2,10107,2125557818,95.7,S10_1678,Motorcycles,1,30,2871.0,Shipped,NORTHAME,2003
59 rue de l'Abbaye,Reims,Paul,Henriot,France,Reims Collectables,Small,5,95,5/7/2003 0:00,5,10121,26.47.1555,81.35,S10_1678,Motorcycles,2,34,2765.9,Shipped,EMEA,2003
27 rue du Colonel Pierre Avia,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Medium,7,95,7/1/2003 0:00,2,10134,+33 1 46 62 7555,94.74,S10_1678,Motorcycles,3,41,3884.34,Shipped,EMEA,2003
78934 Hillside Dr.,Pasadena,Julie,Young,USA,Toys4GrownUps.com,Medium,8,95,8/25/2003 0:00,6,10145,6265557265,83.26,S10_1678,Motorcycles,3,45,3746.7,Shipped,NORTHAME,2003
7734 Strong St.,San Francisco,Julie,Brown,USA,Corporate Gift Ideas Co.,Medium,10,95,10/10/2003 0:00,14,10159,6505551386,100.0,S10_1678,Motorcycles,4,49,5205.27,Shipped,NORTHAME,2003
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Medium,10,95,10/28/2003 0:00,1,10168,6505556809,96.66,S10_1678,Motorcycles,4,36,3479.76,Shipped,NORTHAME,2003
"184, chausse de Tournai",Lille,Martine,Rance,France,Daedalus Designs Imports,Small,11,95,11/11/2003 0:00,9,10180,20.16.1555,86.13,S10_1678,Motorcycles,4,29,2497.77,Shipped,EMEA,2003
"Drammen 121, PR 744 Sentrum",Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Medium,11,95,11/18/2003 0:00,1,10188,+47 2267 3215,100.0,S10_1678,Motorcycles,4,48,5512.32,Shipped,EMEA,2003
5557 North Pendale Street,San Francisco,Julie,Murphy,USA,Mini Wheels Co.,Small,12,95,12/1/2003 0:00,2,10201,6505555787,98.57,S10_1678,Motorcycles,4,22,2168.54,Shipped,NORTHAME,2003
"25, rue Lauriston",Paris,Dominique,Perrier,France,Auto Canal Petit,Medium,1,95,1/15/2004 0:00,14,10211,(1) 47.55.6555,100.0,S10_1678,Motorcycles,1,41,4708.44,Shipped,EMEA,2004
636 St Kilda Road,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.",Medium,2,95,2/20/2004 0:00,1,10223,03 9520 4555,100.0,S10_1678,Motorcycles,1,37,3965.66,Shipped,AUSTRALIA,2004
2678 Kingston Rd.,NYC,Michael,Frick,USA,Vitachrome Inc.,Small,4,95,4/5/2004 0:00,7,10237,2125551500,100.0,S10_1678,Motorcycles,2,23,2333.12,Shipped,NORTHAME,2004
7476 Moss Rd.,Newark,William,Brown,USA,Tekni Collectables Inc.,Medium,5,95,5/18/2004 0:00,2,10251,2015559350,100.0,S10_1678,Motorcycles,2,28,3188.64,Shipped,NORTHAME,2004
25593 South Bay Ln.,Bridgewater,Julie,King,USA,Gift Depot Inc.,Medium,6,95,6/28/2004 0:00,2,10263,2035552570,100.0,S10_1678,Motorcycles,2,34,3676.76,Shipped,NORTHAME,2004
